member_no,ffp_date,load_time,flight_count,sum_yr_1,sum_yr_2,seg_km_sum,last_to_end,avg_discount
54993,2006/11/2,2014/3/31,210,239560,234188,580717,1,0.961639043
28065,2007/2/19,2014/3/31,140,171483,167434,293678,7,1.25231444
55106,2007/2/1,2014/3/31,135,163618,164982,283712,11,1.254675516
21189,2008/8/22,2014/3/31,23,116350,125500,281336,97,1.090869565
39546,2009/4/10,2014/3/31,152,124560,130702,309928,5,0.970657895
56972,2008/2/10,2014/3/31,92,112364,76946,294585,79,0.967692483
44924,2006/3/22,2014/3/31,101,120500,114469,287042,1,0.965346535
22631,2010/4/9,2014/3/31,73,82440,114971,287230,3,0.962070222
32197,2011/6/7,2014/3/31,56,72596,87401,321489,6,0.828478237
31645,2010/7/5,2014/3/31,64,85258,60267,375074,15,0.708010153
58877,2010/11/18,2014/3/31,43,69056,91581,262013,22,0.988658044
37994,2004/11/13,2014/3/31,145,92975,126821,271438,6,0.95253487
28012,2006/11/23,2014/3/31,29,44750,53977,321529,67,0.799126984
54943,2006/10/25,2014/3/31,118,105466,119832,179514,3,1.398381742
57881,2010/2/1,2014/3/31,50,68941,79076,270067,2,0.921984841
1254,2008/3/28,2014/3/31,22,69300,54764,234721,65,1.026084586
8253,2010/7/15,2014/3/31,101,93840,93114,172231,7,1.3865249
58899,2010/11/10,2014/3/31,40,66239,63260,284160,45,0.837844243
26955,2006/4/6,2014/3/31,64,99735,93006,169358,2,1.401596264
41616,2011/8/29,2014/3/31,38,60930,52316,332896,24,0.70828541
21501,2008/7/30,2014/3/31,106,69566,122763,167113,4,1.369404116
41281,2011/6/7,2014/3/31,23,46800,198224,214590,6,1.061630924
47229,2005/4/10,2014/3/31,94,59169,74497,305250,23,0.741803833
28474,2010/4/13,2014/3/31,20,64258,59600,222380,74,1.004904443
58472,2010/2/14,2014/3/31,44,38510,75816,281837,17,0.787308444
13942,2010/10/14,2014/3/31,62,72806,83496,243674,17,0.902990019
45075,2007/2/1,2014/3/31,213,136769,96568,187917,3,1.146354614
